DEPARTAMENTO,PROVINCIA,DISTRITO,LATITUD,LONGITUD
SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,-6.042815,-77.3011144
SAN MARTIN,HUALLAGA,PISCOYACU,-6.9801213,-76.767558
HUANUCO,AMBO,SAN RAFAEL,-10.3378964,-76.182284
PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,-5.0077344,-79.3601521
CAJAMARCA,HUALGAYOC,BAMBAMARCA,-6.68221,-78.5201491
TACNA,JORGE BASADRE,ITE,-17.8613864,-70.9653363
APURIMAC,CHINCHEROS,ANCO_HUALLO,-13.5468039,-73.6667522
LA LIBERTAD,PATAZ,TAYABAMBA,-8.275946,-77.2962826
SAN MARTIN,BELLAVISTA,SAN RAFAEL,-7.0236238,-76.4644594
AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RIVACAYCO,,
CAJAMARCA,JAEN,CHONTALI,-5.6460405,-79.0880569
PIURA,AYABACA,JILILI,-4.5850028,-79.7971628
LA LIBERTAD,TRUJILLO,HUANCHACO,-8.0794934,-79.1202668
LIMA,YAUYOS,CATAHUASI,-12.7996775,-75.8918762
ANCASH,SIHUAS,SAN JUAN,-8.6691267,-77.6263344
LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,-6.5474461,-79.8645893
PUNO,LAMPA,LAMPA,-15.3644309,-70.3666168
HUANCAVELICA,TAYACAJA,HUACHOCOLPA,-12.0482665,-74.5945785
LIMA,HUAURA,AMBAR,-10.7563177,-77.2719717
AMAZONAS,BONGARA,FLORIDA,-5.8262269,-77.9691875
HUANUCO,MARANON,HUACRACHUCO,-8.604487,-77.1492362
JUNIN,HUANCAYO,PUCARA,-12.1725957,-75.1454737
PASCO,OXAPAMPA,PUERTO BERMUDEZ,-10.2956757,-74.9369004
ANCASH,RECUAY,RECUAY,-9.722026,-77.4561556
ANCASH,CARLOS F. FITZC,SAN NICOLAS,,
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,-9.3427297,-77.4300747
HUANUCO,PUERTO INCA,CODO DEL POZUZO,-9.6468447,-75.4831107
PUNO,MOHO,MOHO,-15.3607727,-69.4998358
PUNO,MELGAR,ORURILLO,-14.7274934,-70.5117338
APURIMAC,GRAU,CURPAHUASI,-14.0635189,-72.670309
CUSCO,CUSCO,SAYLLA,-13.5702475,-71.8271365
LIMA,HUAURA,CHECRAS,-10.932856,-76.8325384
CAJAMARCA,CONTUMAZA,CONTUMAZA,-7.36625,-78.8051109
ANCASH,PALLASCA,HUACASCHUQUE,-8.3064787,-78.0043934
LA LIBERTAD,OTUZCO,OTUZCO,-7.9024691,-78.5656753
PIURA,PIURA,CURA MORI,-5.3641357,-80.6021647
AYACUCHO,HUANTA,IGUAIN,-12.9768506,-74.2063522
AYACUCHO,VILCA HUAMAN,SAURAMA,,
AYACUCHO,PARINACOCHAS,PUYUSCA,-15.2779216,-73.5681304
LIMA,YAUYOS,ALIS,-12.2809581,-75.786431
PIURA,AYABACA,FRIAS,-4.9316303,-79.9473728
CAJAMARCA,JAEN,PUCARA,-6.0418131,-79.1300978
PUNO,EL COLLAO,SANTA ROSA,-16.7616495,-69.8556014
JUNIN,JAUJA,HUAMALI,-11.8070005,-75.4240414
AREQUIPA,ISLAY,MOLLENDO,-17.0292533,-72.0155447
LA LIBERTAD,TRUJILLO,ALTO TRUJILLO,-8.062749,-79.0100315
ANCASH,HUARMEY,HUAYAN,-9.8750801,-77.7081362
CUSCO,ESPINAR,COPORAQUE,-14.8007408,-71.5317853
AREQUIPA,CARAVELI,CARAVELI,-15.7723728,-73.365537
AREQUIPA,AREQUIPA,JACOBO HUNTER,-16.4591236,-71.5689479
APURIMAC,CHINCHEROS,OCOBAMBA,-13.482545,-73.5603855
JUNIN,JAUJA,TUNAN MARCA,-11.6968685,-75.604937
TUMBES,ZARUMILLA,MATAPALO,-3.7555317,-80.2522386
PIURA,SECHURA,VICE,-5.4216102,-80.7742613
LIMA,YAUYOS,YAUYOS,-12.4596576,-75.9187003
AREQUIPA,AREQUIPA,CAYMA,-16.2793942,-71.4603116
AMERICA,VENEZUELA,NAN,,
LA LIBERTAD,SANCHEZ CARRION,MARCABAL,-7.7060639,-78.0333428
LIMA,CANTA,SANTA ROSA DE QUIVES,-11.6677416,-76.7876655
CAJAMARCA,CUTERVO,SAN JUAN DE CUTERVO,-6.1634022,-78.5978979
AREQUIPA,AREQUIPA,YANAHUARA,-16.3881818,-71.5420539
CAJAMARCA,SANTA CRUZ,LA ESPERANZA,-6.5929359,-78.8957639
APURIMAC,CHINCHEROS,CHINCHEROS,-13.5180507,-73.7226614
AMAZONAS,RODRIGUEZ DE ME,OMIA,,
AMAZONAS,RODRIGUEZ DE ME,HUAMBO,,
AMAZONAS,RODRIGUEZ DE ME,CHIRIMOTO,,
ANCASH,SIHUAS,SIHUAS,-8.5546662,-77.6312635
JUNIN,YAULI,SUITUCANCHA,-11.7879517,-75.9370765
CAJAMARCA,CHOTA,ANGUIA,-6.3414242,-78.605603
MADRE DE DIOS,MANU,FITZCARRALD,-12.0164673,-70.9139793
AYACUCHO,HUANCA SANCOS,SANCOS,,
JUNIN,JAUJA,POMACANCHA,-11.6347181,-75.6842784
PASCO,DANIEL ALCIDES,SANTA ANA DE TUSI,-10.472166,-76.3538212
JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,-10.8887276,-75.288652
SAN MARTIN,RIOJA,PARDO MIGUEL,-5.7219212,-77.6170864
SAN MARTIN,SAN MARTIN,SAN ANTONIO,-6.3966231,-76.388894
PUNO,SANDIA,PHARA,-14.1522467,-69.6652072
CUSCO,CHUMBIVILCAS,VELILLE,-14.5101172,-71.8846039
APURIMAC,AYMARAES,CARAYBAMBA,-14.3780802,-73.1606841
SAN MARTIN,EL DORADO,SAN MARTIN,-6.4095133,-76.8712581
AMAZONAS,LUYA,CAMPORREDONDO,-6.2152175,-78.3203232
ANCASH,HUARAZ,PARIACOTO,-9.5592582,-77.89055
CUSCO,CANAS,KUNTURKANKI,-14.5267446,-71.2943347
HUANUCO,LEONCIO PRADO,HERMILIO VALDIZAN,-9.1388577,-75.8828696
APURIMAC,ANDAHUAYLAS,TALAVERA,-13.6537135,-73.4290221
CAJAMARCA,CELENDIN,JOSE GALVEZ,-6.9262185,-78.1593617
PUNO,AZANGARO,AZANGARO,-14.9095426,-70.1956194
TACNA,JORGE BASADRE,LOCUMBA,-17.6138491,-70.7623551
HUANUCO,PACHITEA,MOLINO,-9.910194,-76.0164374
AYACUCHO,HUAMANGA,JESUS NAZARENO,-13.1231549,-74.2020312
CAJAMARCA,HUALGAYOC,CHUGUR,-6.6706526,-78.7385194
JUNIN,HUANCAYO,PARIAHUANCA,-12.0289904,-74.8522455
HUANCAVELICA,HUANCAVELICA,VILCA,-12.4773763,-75.1834515
AYACUCHO,PAUCAR DEL SARA,PAUSA,-15.2789471,-73.3443491
HUANUCO,HUANUCO,QUISQUI (KICHKI),,
CUSCO,ESPINAR,ESPINAR,-14.9140687,-71.342938
PIURA,HUANCABAMBA,SONDORILLO,-5.3391518,-79.4289116
ANCASH,CARHUAZ,ANTA,-9.3576692,-77.5985103
ICA,CHINCHA,EL CARMEN,-13.4970846,-76.0697065
LORETO,LORETO,URARINAS,-4.2547901,-75.4420923
HUANCAVELICA,CASTROVIRREYNA,HUAMATAMBO,-13.1043837,-75.6900782
AYACUCHO,LUCANAS,CHIPAO,-14.3658713,-73.87626
LIMA,LIMA,SANTA MARIA DEL MAR,-12.4081231,-76.7663191
LAMBAYEQUE,FERRENAFE,INCAHUASI,-6.2356517,-79.3167892
JUNIN,JAUJA,MUQUIYAUYO,-11.8138007,-75.4538897
PIURA,SULLANA,SALITRAL,-4.8574486,-80.6812018
AYACUCHO,PAUCAR DEL SARA,CORCULLA,-15.2631753,-73.2005622
CAJAMARCA,SANTA CRUZ,UTICYACU,-6.6065559,-78.793839
AYACUCHO,SUCRE,MORCOLLA,-14.1086995,-73.8722162
JUNIN,JAUJA,ACOLLA,-11.7314085,-75.5464856
HUANCAVELICA,ACOBAMBA,CAJA,-12.9155215,-74.4661521
LA LIBERTAD,GRAN CHIMU,CASCAS,-7.479441,-78.819392
CUSCO,CALCA,CALCA,-13.3216818,-71.9560084
AREQUIPA,CARAVELI,ATIQUIPA,-15.7958563,-74.3636272
HUANUCO,HUANUCO,CHURUBAMBA,-9.8256913,-76.133709
PUNO,PUNO,SAN ANTONIO,-16.0936915,-70.3224035
LORETO,ALTO AMAZONAS,LAGUNAS,-5.2269531,-75.6796596
CUSCO,CHUMBIVILCAS,SANTO TOMAS,-14.4500414,-72.081998
CAJAMARCA,SAN MIGUEL,NANCHOC,-6.9595289,-79.2427447
AYACUCHO,LA MAR,AYNA,-12.7248189,-73.90596
APURIMAC,GRAU,HUAYLLATI,-13.9283772,-72.4844917
LIMA,YAUYOS,HUAÃEC,,
CUSCO,CALCA,SAN SALVADOR,-13.4923138,-71.7783551
PIURA,SULLANA,LANCONES,-4.4252883,-80.5916729
AYACUCHO,SUCRE,PAICO,-14.0383594,-73.6421391
HUANCAVELICA,TAYACAJA,PAZOS,-12.259004,-75.0704157
PUNO,YUNGUYO,UNICACHI,-16.2239052,-68.9811036
SAN MARTIN,HUALLAGA,TINGO DE SAPOSOA,-7.068307,-76.6491236
MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,-12.2789796,-69.1508022
ANCASH,OCROS,SANTIAGO DE CHILCAS,-10.4384792,-77.3661877
JUNIN,HUANCAYO,HUANCAN,-12.1062776,-75.2167958
AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,-13.5589775,-74.2959621
LIMA,HUAROCHIRI,SAN MATEO DE OTAO,-11.8364257,-76.5222404
LAMBAYEQUE,CHICLAYO,SAÃA,,
JUNIN,CHUPACA,AHUAC,-12.0856856,-75.3207776
AMAZONAS,RODRIGUEZ DE ME,MARISCAL BENAVIDES,,
CAJAMARCA,SAN MIGUEL,EL PRADO,-7.0336496,-79.0111824
ICA,NAZCA,CHANGUILLO,-14.6639776,-75.222762
PUNO,EL COLLAO,ILAVE,-16.086789,-69.6385874
LA LIBERTAD,ASCOPE,PAIJAN,-7.7342569,-79.3032804
JUNIN,CONCEPCION,COMAS,-11.6578955,-74.9817936
HUANUCO,DOS DE MAYO,CHUQUIS,-9.6773548,-76.7047049
JUNIN,JAUJA,MASMA,-11.7856862,-75.4263838
APURIMAC,ANDAHUAYLAS,PAMPACHIRI,-14.1870656,-73.5445298
JUNIN,HUANCAYO,HUACRAPUQUIO,-12.1736583,-75.2190435
CAJAMARCA,CHOTA,CHOROPAMPA,-6.3720964,-78.377002
PIURA,AYABACA,SICCHEZ,-4.5701333,-79.7639691
TACNA,TACNA,POCOLLAY,-18.0098398,-70.1038612
CAJAMARCA,CAJAMARCA,ENCAÃADA,,
CAJAMARCA,CAJAMARCA,NAMORA,-7.2021381,-78.3253016
AREQUIPA,CAYLLOMA,LLUTA,-16.0156408,-72.0141048
AREQUIPA,AREQUIPA,LA JOYA,-16.4235536,-71.8178329
LAMBAYEQUE,CHICLAYO,SANTA ROSA,-6.8792983,-79.9224844
HUANUCO,LAURICOCHA,JIVIA,-10.0238918,-76.6805659
AYACUCHO,LA MAR,TAMBO,-12.9481515,-74.0201903
PUNO,MELGAR,MACARI,-14.7708759,-70.9025677
PUNO,HUANCANE,TARACO,-15.2978079,-69.9783213
SAN MARTIN,PICOTA,BUENOS AIRES,-6.7911007,-76.3270921
JUNIN,HUANCAYO,HUASICANCHA,-12.3320127,-75.2821253
APURIMAC,GRAU,MICAELA BASTIDAS,-14.1353281,-72.5915384
PASCO,DANIEL ALCIDES,CHACAYAN,-10.4342238,-76.4374809
AMAZONAS,BONGARA,CHISQUILLA,-5.902208,-77.7276305
CAJAMARCA,CAJABAMBA,CONDEBAMBA,-7.5324512,-78.0953763
JUNIN,CONCEPCION,MATAHUASI,-11.8937662,-75.3439685
LORETO,MAYNAS,FERNANDO LORES,-4.2585911,-73.0632445
HUANUCO,MARANON,SAN BUENAVENTURA,-8.7676146,-77.1859476
SAN MARTIN,HUALLAGA,ALTO SAPOSOA,-6.5916908,-76.9370633
AMAZONAS,RODRIGUEZ DE ME,COCHAMAL,,
ANCASH,HUARI,PONTO,-9.3258105,-77.0043962
TACNA,TACNA,CALANA,-17.9388968,-70.1862051
CAJAMARCA,CHOTA,COCHABAMBA,-6.474381,-78.8851926
ANCASH,CASMA,COMANDANTE NOEL,-9.5090573,-78.3430699
AREQUIPA,CARAVELI,BELLA UNION,-15.450167,-74.6578278
TUMBES,TUMBES,PAMPAS DE HOSPITAL,-3.8452253,-80.3899845
CAJAMARCA,CAJAMARCA,MAGDALENA,-7.2246172,-78.6311663
CAJAMARCA,SANTA CRUZ,SAUCEPAMPA,-6.6906321,-78.9166193
HUANCAVELICA,ACOBAMBA,ANDABAMBA,-12.6937656,-74.6237846
JUNIN,JAUJA,MOLINOS,-11.5950815,-75.3285178
HUANCAVELICA,ANGARAES,LIRCAY,-12.9895611,-74.720505
ANCASH,HUARI,MASIN,-9.3656974,-77.0966764
PIURA,TALARA,LOS ORGANOS,-4.179643,-81.1286825
AREQUIPA,CONDESUYOS,YANAQUIHUA,-15.7757447,-72.8765355
AYACUCHO,LUCANAS,CABANA,-14.2885572,-73.9671215
MADRE DE DIOS,MANU,MANU,-12.3870413,-71.5115649
AYACUCHO,HUAMANGA,CHIARA,-13.2732192,-74.205806
LIMA,HUAROCHIRI,SURCO,-11.8678175,-76.4576592
LIMA,YAUYOS,HUANGASCAR,-12.8989937,-75.8314747
JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,-11.7688897,-74.7951955
LIMA,YAUYOS,VIÃAC,,
LIMA,CAJATAMBO,HUANCAPON,-10.5494434,-77.1120091
APURIMAC,ANDAHUAYLAS,KISHUARA,-13.6913922,-73.1186407
AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE,-13.9684014,-73.7347073
HUANUCO,YARAWILCA,JACAS CHICO,,
UCAYALI,CORONEL PORTILLO,IPARIA,-9.3062896,-74.4356449
APURIMAC,ANDAHUAYLAS,HUAYANA,-14.0506668,-73.6092884
JUNIN,JAUJA,PANCAN,-11.7487988,-75.4863444
ANCASH,HUARAZ,HUANCHAY,-9.7235947,-77.8184585
HUANUCO,AMBO,HUACAR,-10.2043213,-76.2766508
CUSCO,ANTA,MOLLEPATA,-13.5086248,-72.5276403
CAJAMARCA,SAN IGNACIO,HUARANGO,-5.2728294,-78.7758172
APURIMAC,ANDAHUAYLAS,HUANCARAMA,-13.6451805,-73.0855794
AYACUCHO,VICTOR FAJARDO,APONGO,-14.0132331,-73.9324818
CUSCO,ESPINAR,PICHIGUA,-14.6777982,-71.4063142
CAJAMARCA,SAN PABLO,TUMBADEN,-7.0249393,-78.7397496
LORETO,MAYNAS,LAS AMAZONAS,-3.6036304,-72.4786307
CUSCO,ANTA,ZURITE,-13.4554756,-72.2554716
LORETO,LORETO,PARINARI,-4.6305467,-74.4597653
HUANUCO,HUAMALIES,TANTAMAYO,-9.3924337,-76.7200432
LIMA,YAUYOS,LINCHA,-12.7998307,-75.6672126
LIMA,CAJATAMBO,COPA,-10.3863994,-77.0792248
LIMA,CANETE,PACARAN,-12.8661506,-76.0545357
HUANCAVELICA,TAYACAJA,SALCAHUASI,-12.1037609,-74.7515924
AMAZONAS,LUYA,SANTA CATALINA,-6.077409,-78.0957726
LORETO,UCAYALI,SARAYACU,-6.3969342,-75.2180436
LORETO,UCAYALI,PADRE MARQUEZ,-7.8670293,-74.8994093
CAJAMARCA,SANTA CRUZ,YAUYUCAN,-6.6824506,-78.8410093
AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,-13.1188952,-74.3241155
ANCASH,ANTONIO RAYMOND,LLAMELLIN,,
PUNO,MELGAR,LLALLI,-14.9469209,-70.8799195
HUANUCO,DOS DE MAYO,LA UNION,-9.8284557,-76.8013469
SAN MARTIN,LAMAS,CAYNARACHI,-6.1916889,-76.3173428
APURIMAC,CHINCHEROS,RANRACANCHA,-13.5328741,-73.6057901
ANCASH,RECUAY,PARARIN,-10.0503938,-77.654616
AREQUIPA,AREQUIPA,MIRAFLORES,-16.3501806,-71.46244
JUNIN,JAUJA,LEONOR ORDOÃEZ,,
APURIMAC,COTABAMBAS,CHALLHUAHUACHO,-14.1186814,-72.2465114
PIURA,MORROPON,BUENOS AIRES,-5.2670919,-79.9675926
HUANCAVELICA,TAYACAJA,COLCABAMBA,-12.4109277,-74.6809318
ANCASH,HUARAZ,JANGAS,-9.4006,-77.5772088
ANCASH,ANTONIO RAYMOND,ACZO,,
ANCASH,MARISCAL LUZURR,LLUMPA,,
HUANCAVELICA,TAYACAJA,AHUAYCHA,-12.4074359,-74.8914236
CUSCO,CALCA,PISAC,-13.4210472,-71.850496
SAN MARTIN,SAN MARTIN,JUAN GUERRA,-6.5832708,-76.3299295
HUANCAVELICA,HUAYTARA,QUERCO,-13.9795156,-74.9768017
JUNIN,JAUJA,YAUYOS,-11.799505,-75.5129163
HUANUCO,PUERTO INCA,PUERTO INCA,-9.2605438,-74.8847598
MADRE DE DIOS,MANU,MADRE DE DIOS,-12.6672461,-70.6339897
ANCASH,HUARAZ,OLLEROS,-9.6669506,-77.4663377
ICA,ICA,PACHACUTEC,-14.1542383,-75.6548219
AYACUCHO,LA MAR,LUIS CARRANZA,-13.2429701,-73.8808127
CAJAMARCA,SAN MIGUEL,LA FLORIDA,-6.8696112,-79.1220288
AREQUIPA,CAYLLOMA,MAJES,-16.3242988,-72.2878298
AREQUIPA,CARAVELI,CHAPARRA,-15.7388369,-73.8618503
AMAZONAS,LUYA,LAMUD,-6.1390013,-77.9519237
CAJAMARCA,JAEN,HUABAL,-5.6128756,-78.8996429
SAN MARTIN,MARISCAL CACERE,PAJARILLO,,
PUNO,LAMPA,CALAPUJA,-15.3101475,-70.2217662
CAJAMARCA,CUTERVO,QUEROCOTILLO,-6.2735837,-79.0381664
LA LIBERTAD,PATAZ,PARCOY,-8.0337074,-77.4796539
JUNIN,JAUJA,PARCO,-11.8010541,-75.5430543
AMAZONAS,BAGUA,LA PECA,-5.6122226,-78.4373718
LIMA,HUAROCHIRI,LANGA,-12.1256616,-76.4212701
CAJAMARCA,CAJABAMBA,SITACOCHA,-7.491877,-77.8999671
SAN MARTIN,SAN MARTIN,CHAZUTA,-6.5719404,-76.1342717
LORETO,LORETO,NAUTA,-4.5070455,-73.5740018
AREQUIPA,CAYLLOMA,CALLALLI,-15.5067505,-71.4450569
AREQUIPA,CAYLLOMA,HUANCA,-16.0339106,-71.8779638
AREQUIPA,CAMANA,SAMUEL PASTOR,-16.598135,-72.6674111
CAJAMARCA,SANTA CRUZ,CHANCAYBAÃOS,,
CUSCO,CANCHIS,MARANGANI,-14.3573737,-71.1686419
HUANCAVELICA,HUANCAVELICA,MOYA,-12.4232508,-75.1538265
PUNO,PUNO,CAPACHICA,-15.6420185,-69.8307928
CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,-6.2445336,-78.8553076
AYACUCHO,PAUCAR DEL SARA,SAN JOSE DE USHUA,-15.2247933,-73.2267347
AYACUCHO,LA MAR,ANCO,-13.11681,-73.6904625
JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,-11.9490237,-75.2827119
LIMA,YAUYOS,HONGOS,-12.8104765,-75.7652182
AREQUIPA,AREQUIPA,TIABAYA,-16.4632387,-71.6048807
CAJAMARCA,CAJABAMBA,CACHACHI,-7.4487528,-78.2686919
AYACUCHO,LUCANAS,SAN PEDRO,-14.7671803,-74.0976631
SAN MARTIN,EL DORADO,SANTA ROSA,-6.7463029,-76.6233355
AMAZONAS,LUYA,COLCAMAR,-6.2994624,-77.9728542
HUANUCO,HUACAYBAMBA,COCHABAMBA,-9.0950192,-76.8366288
CUSCO,QUISPICANCHI,CUSIPATA,-13.9066376,-71.5028038
HUANCAVELICA,HUAYTARA,QUITO-ARMA,-13.5285368,-75.3275782
